GEOID,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,Main heating fuel,Main heating fuel cost,Cost ASHP,Cost savings,Savings percentage
13031,13,031,00350302,0500000US13031,Bulloch,Bulloch County,GA,Georgia,Electricity,1136.4113,316.4096,820.0017,72.16
13121,13,121,01694833,0500000US13121,Fulton,Fulton County,GA,Georgia,Utility gas,733.4319,451.6278,281.8041,38.42
13179,13,179,00357095,0500000US13179,Liberty,Liberty County,GA,Georgia,Electricity,988.0334,270.1276,717.9059,72.66
13189,13,189,00348794,0500000US13189,McDuffie,McDuffie County,GA,Georgia,Electricity,1137.536,324.5072,813.0288,71.47
13213,13,213,01688005,0500000US13213,Murray,Murray County,GA,Georgia,Electricity,1373.3387,392.132,981.2067,71.45
13209,13,209,00352276,0500000US13209,Montgomery,Montgomery County,GA,Georgia,Electricity,990.0587,271.6291,718.4295,72.56
13139,13,139,01686953,0500000US13139,Hall,Hall County,GA,Georgia,Electricity,1402.3332,396.5794,1005.7538,71.72
13245,13,245,00358024,0500000US13245,Richmond,Richmond County,GA,Georgia,Electricity,1138.1532,313.8907,824.2626,72.42
13049,13,049,00357747,0500000US13049,Charlton,Charlton County,GA,Georgia,Electricity,642.2859,165.5913,476.6945,74.22
13141,13,141,00348209,0500000US13141,Hancock,Hancock County,GA,Georgia,Electricity,1178.6805,325.1234,853.557,72.42
13157,13,157,00349570,0500000US13157,Jackson,Jackson County,GA,Georgia,Electricity,1170.5939,326.1935,844.4004,72.13
13315,13,315,00345499,0500000US13315,Wilcox,Wilcox County,GA,Georgia,Electricity,1286.7659,373.0993,913.6666,71.0
13241,13,241,00351489,0500000US13241,Rabun,Rabun County,GA,Georgia,Electricity,1832.201,534.4171,1297.784,70.83
13269,13,269,00344156,0500000US13269,Taylor,Taylor County,GA,Georgia,Electricity,1053.365,286.4652,766.8998,72.8
13177,13,177,00343390,0500000US13177,Lee,Lee County,GA,Georgia,Electricity,792.874,214.3476,578.5264,72.97
13279,13,279,00345220,0500000US13279,Toombs,Toombs County,GA,Georgia,Electricity,989.755,266.3623,723.3927,73.09
13007,13,007,00342832,0500000US13007,Baker,Baker County,GA,Georgia,Electricity,793.8141,212.0272,581.7869,73.29
34015,34,015,00882277,0500000US34015,Gloucester,Gloucester County,NJ,New Jersey,Utility gas,650.3049,824.6207,-174.3159,-26.81
34023,34,023,00882230,0500000US34023,Middlesex,Middlesex County,NJ,New Jersey,Utility gas,676.3835,790.0099,-113.6264,-16.8
34035,34,035,00882234,0500000US34035,Somerset,Somerset County,NJ,New Jersey,Utility gas,670.481,786.1828,-115.7018,-17.26
34031,34,031,00882232,0500000US34031,Passaic,Passaic County,NJ,New Jersey,Utility gas,686.1886,787.6232,-101.4347,-14.78
34021,34,021,00882229,0500000US34021,Mercer,Mercer County,NJ,New Jersey,Utility gas,670.481,792.3228,-121.8418,-18.17
34009,34,009,00882274,0500000US34009,Cape May,Cape May County,NJ,New Jersey,Utility gas,565.8173,708.0205,-142.2032,-25.13
35031,35,031,00929107,0500000US35031,McKinley,McKinley County,NM,New Mexico,Wood,859.802,926.2271,-66.425,-7.73
35013,35,013,00929109,0500000US35013,Doña Ana,Doña Ana County,NM,New Mexico,Utility gas,291.45,392.3261,-100.8762,-34.61
28059,28,059,00695753,0500000US28059,Jackson,Jackson County,MS,Mississippi,Electricity,776.1385,216.2786,559.8599,72.13
35033,35,033,01702367,0500000US35033,Mora,Mora County,NM,New Mexico,Wood,749.8967,907.5651,-157.6684,-21.03
53067,53,067,01529226,0500000US53067,Thurston,Thurston County,WA,Washington,Electricity,1964.3638,541.2038,1423.1599,72.45
51147,51,147,01492359,0500000US51147,Prince Edward,Prince Edward County,VA,Virginia,Electricity,3306.594,971.8849,2334.7092,70.61
01009,01,009,00161530,0500000US01009,Blount,Blount County,AL,Alabama,Electricity,1273.8807,363.2147,910.666,71.49
01095,01,095,00161574,0500000US01095,Marshall,Marshall County,AL,Alabama,Electricity,1466.004,417.5495,1048.4544,71.52
51029,51,029,01501502,0500000US51029,Buckingham,Buckingham County,VA,Virginia,Electricity,3255.4931,945.7117,2309.7815,70.95
51139,51,139,01500440,0500000US51139,Page,Page County,VA,Virginia,Electricity,3005.7788,886.1896,2119.5891,70.52
53017,53,017,01531818,0500000US53017,Douglas,Douglas County,WA,Washington,Electricity,970.6234,288.296,682.3275,70.3
51153,51,153,01480161,0500000US51153,Prince William,Prince William County,VA,Virginia,Utility gas,893.4002,1373.6951,-480.2948,-53.76
51171,51,171,01673918,0500000US51171,Shenandoah,Shenandoah County,VA,Virginia,Electricity,4063.0245,1276.4362,2786.5883,68.58
01043,01,043,00161547,0500000US01043,Cullman,Cullman County,AL,Alabama,Electricity,1568.6569,479.7597,1088.8972,69.42
51061,51,061,01480120,0500000US51061,Fauquier,Fauquier County,VA,Virginia,Electricity,4101.0756,1304.9139,2796.1617,68.18
53021,53,021,01531822,0500000US53021,Franklin,Franklin County,WA,Washington,Electricity,1512.3818,435.1625,1077.2192,71.23
53019,53,019,01531821,0500000US53019,Ferry,Ferry County,WA,Washington,Wood,998.5759,723.1636,275.4123,27.58
53029,53,029,01513272,0500000US53029,Island,Island County,WA,Washington,Electricity,1937.6321,493.0938,1444.5383,74.55
53075,53,075,01533501,0500000US53075,Whitman,Whitman County,WA,Washington,Electricity,2132.768,636.5295,1496.2386,70.15
33017,33,017,00873182,0500000US33017,Strafford,Strafford County,NH,New Hampshire,"Fuel oil, kerosene, etc",1275.6667,1329.915,-54.2483,-4.25
31093,31,093,00835868,0500000US31093,Howard,Howard County,NE,Nebraska,Electricity,2308.7503,996.0101,1312.7401,56.86
31115,31,115,00835879,0500000US31115,Loup,Loup County,NE,Nebraska,"Bottled, tank, or LP gas",1273.3457,1221.6554,51.6903,4.06
51001,51,001,01480091,0500000US51001,Accomack,Accomack County,VA,Virginia,Electricity,3045.093,888.4559,2156.637,70.82
21101,21,101,00516897,0500000US21101,Henderson,Henderson County,KY,Kentucky,Electricity,1795.8417,593.8814,1201.9603,66.93
21093,21,093,00516893,0500000US21093,Hardin,Hardin County,KY,Kentucky,Electricity,1763.479,596.1573,1167.3218,66.19
51119,51,119,01480147,0500000US51119,Middlesex,Middlesex County,VA,Virginia,Electricity,2733.8577,768.7469,1965.1108,71.88
22075,22,075,00558125,0500000US22075,Plaquemines,Plaquemines Parish,LA,Louisiana,Electricity,410.4079,101.4273,308.9806,75.29
22107,22,107,00559509,0500000US22107,Tensas,Tensas Parish,LA,Louisiana,Electricity,629.9193,169.7197,460.1996,73.06
51193,51,193,01480179,0500000US51193,Westmoreland,Westmoreland County,VA,Virginia,Electricity,2761.7332,756.6795,2005.0537,72.6
22119,22,119,00559567,0500000US22119,Webster,Webster Parish,LA,Louisiana,Utility gas,455.018,279.5801,175.4379,38.56
23027,23,027,00581299,0500000US23027,Waldo,Waldo County,ME,Maine,"Fuel oil, kerosene, etc",1514.3579,1510.4973,3.8606,0.25
51091,51,091,01673774,0500000US51091,Highland,Highland County,VA,Virginia,Electricity,2523.797,915.4244,1608.3726,63.73
21013,21,013,00516853,0500000US21013,Bell,Bell County,KY,Kentucky,Electricity,1620.8467,510.481,1110.3657,68.51
21131,21,131,00516912,0500000US21131,Leslie,Leslie County,KY,Kentucky,Electricity,1536.8385,446.472,1090.3665,70.95
