"STATEFP","state_fp_2_digit","hh_hp_savings_electricity","hh_hp_savings_utilitygas","hh_hp_savings_wood","hh_hp_savings_lpgas","hh_hp_savings_fueloil"
1,"01",839.409120601817,226.0984,NA,NA,NA
4,"04",437.101975915745,128.210136537269,14.528867300331,NA,NA
5,"05",883.721055724026,198.769454433537,NA,NA,NA
6,"06",1049.31968098768,72.4404041173541,-242.48386889485,874.000068732676,NA
8,"08",2563.4003,-322.36463396892,-250.671,642.027984548315,NA
9,"09",NA,-205.294295894839,NA,NA,-119.650336275687
10,"10",1080.8212,221.522446770325,NA,NA,NA
11,"11",NA,-239.3387,NA,NA,NA
12,"12",226.797700453172,NA,NA,NA,NA
13,"13",813.523870594111,280.849059746647,NA,808.445649638465,NA
16,"16",1497.64333871678,-131.312792702633,233.925215056514,1104.56087212897,NA
17,"17",785.079955887081,-155.490518999235,NA,582.499499697455,NA
18,"18",1295.37735159791,-273.662425419226,NA,538.219127548209,NA
19,"19",1539.09764224758,-578.691787806313,NA,-242.649449569779,NA
20,"20",1436.86066230851,-84.8508228920631,NA,249.5488,NA
21,"21",1109.14780761016,137.523901186776,NA,NA,NA
22,"22",423.391086700316,161.906813203471,NA,NA,NA
23,"23",NA,NA,NA,NA,15.7308267636983
24,"24",1174.44004624646,256.734443227924,NA,NA,403.58
25,"25",NA,-23.6377998272987,NA,1453.50923624701,-76.6538174668512
26,"26",NA,-1056.42686457314,NA,336.481041702104,NA
27,"27",1721.75184879536,-918.906665308402,NA,-38.2097107979317,NA
28,"28",692.349930803705,155.756117046007,NA,549.83247032034,NA
29,"29",1120.3675687996,71.4453509239875,NA,376.279223908488,NA
30,"30",1876.74680056871,-476.812077992716,87.1727,497.658051902283,NA
31,"31",1446.46386192388,-273.463947649533,NA,192.291139957265,NA
32,"32",1579.29410101805,-179.787142597122,-197.990063642428,840.728975333479,NA
33,"33",NA,-76.4074,NA,NA,-170.6455013555
34,"34",NA,-130.847087504921,NA,NA,232.2725
35,"35",884.598782152639,-237.143382828805,-46.6736616262358,635.808795694295,NA
36,"36",NA,-147.135386063862,NA,1520.2737,112.044124570284
37,"37",913.34836704665,NA,NA,645.1015,NA
38,"38",1447.07963651933,-763.940165604488,NA,94.1443628679017,NA
39,"39",1098.8771620617,117.844581405323,NA,1098.8759,NA
40,"40",795.615957779033,78.4087857113458,NA,NA,NA
41,"41",2481.17192754414,-41.9514402552986,-4.43900363810945,NA,NA
42,"42",1299.68332747074,151.501443200015,NA,NA,1050.602940638
44,"44",NA,-206.859625111791,NA,NA,-24.7398930605961
45,"45",863.030242264901,206.1133,NA,NA,NA
46,"46",1622.33715807048,-677.009237080632,NA,147.485153925785,NA
47,"47",992.799762854472,39.6288260771345,NA,NA,NA
48,"48",717.566638920633,153.907086724758,NA,540.709946658139,NA
49,"49",1805.35258102477,-35.7245115098394,201.8051,1190.2196,NA
50,"50",NA,-593.8275,NA,NA,-468.610915584555
51,"51",2213.39672457829,-370.538179099109,NA,NA,NA
53,"53",1256.72953447508,257.216152716557,275.4123,NA,NA
54,"54",1321.64141492862,-22.3807551501887,-155.1671170347,NA,NA
55,"55",NA,-782.967591854832,NA,-156.020459357052,NA
56,"56",1491.62304691048,-264.524097511538,NA,729.8787,NA
